"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 11 13:07:15 GMT 2022","Sun Sep 11 13:07:17 GMT 2022","2112","","Registration Page","","","","Show message user already exists",""
"passed","Sun Sep 11 13:07:04 GMT 2022","Sun Sep 11 13:07:07 GMT 2022","2554","","Login Page","","","","Show message wrong password",""
"passed","Sun Sep 11 13:06:43 GMT 2022","Sun Sep 11 13:06:58 GMT 2022","14744","","Login Page","","","","Successful login",""
"failed","Sun Sep 11 13:06:59 GMT 2022","Sun Sep 11 13:07:04 GMT 2022","5322","","Login Page","","","","Show message password is empty",""
"passed","Sun Sep 11 13:07:27 GMT 2022","Sun Sep 11 13:07:29 GMT 2022","2408","","Todo Page","","","","Edit task",""
"passed","Sun Sep 11 13:07:21 GMT 2022","Sun Sep 11 13:07:23 GMT 2022","2268","","Todo Page","","","","Add new task",""
"passed","Sun Sep 11 13:07:10 GMT 2022","Sun Sep 11 13:07:13 GMT 2022","3061","","Registration Page","","","","Successful registration",""
"passed","Sun Sep 11 13:07:13 GMT 2022","Sun Sep 11 13:07:15 GMT 2022","1620","","Registration Page","","","","Show message password is empty",""
"passed","Sun Sep 11 13:07:07 GMT 2022","Sun Sep 11 13:07:08 GMT 2022","1361","","Login Page","","","","Show message user not found",""
"passed","Sun Sep 11 13:07:23 GMT 2022","Sun Sep 11 13:07:27 GMT 2022","3582","","Todo Page","","","","Delete task by title",""
"passed","Sun Sep 11 13:06:58 GMT 2022","Sun Sep 11 13:06:59 GMT 2022","676","","Login Page","","","","Show message email is empty",""
"passed","Sun Sep 11 13:07:17 GMT 2022","Sun Sep 11 13:07:17 GMT 2022","530","","Registration Page","","","","Show message Incorrect email",""
